43000006,"LIBRERIA BADIA, SL",COMERCIO,FRAGA,NO,46.00,552.00,62,2.00,0.00,0,-
43010214,"LES, SL",INDUSTRIA,FRAGA,NO,41.65,499.80,62,3.00,0.00,0,-
43000007,"TEJERA CONSULTORES, SL",COMERCIO,FRAGA,NO,92.41,"1,108.92",62,3.00,0.00,0,-
43010282,"GOMEZ GESTECO, SL",GESTORIA,FRAGA,NO,48.00,576.00,62,2.00,0.00,0,-
43010279,MANUEL RAMON CABOS SOROLLA,GESTORIA,FRAGA,NO,60.41,724.92,62,3.00,0.00,0,-
43000014,MARIA ELENA CABOS,GESTORIA,FRAGA,NO,85.57,"1,026.84",62,3.00,0.00,0,-
43010271,ANTONIO ROMAN MOLA,GARAJE,TORRENTE DE CINCA,NO,0.00,277.00,62,0.00,7.50,0,-
43000010,"GERARDO CARRASQUER FERRER, SL",COMERCIO,FRAGA,NO,22.62,271.44,62,0.50,0.00,0,-
43000009,"GERARDO CARRASQUER FERRER, SL",COMERCIO,FRAGA,NO,39.72,476.64,62,1.50,0.00,0,-
43000129,"HOGAR Y PIEL MARIA BERGES, SL",COMERCIO,FRAGA,NO,39.00,468.00,62,1.25,0.00,0,-
43000002,MIGUEL MARCH VILELLA,FARMACIA,FRAGA,NO,40.53,486.36,62,1.00,0.00,0,-
43000003,RAMON BOLLIC CABOS,COMERCIO,FRAGA,NO,27.51,330.12,62,0.50,0.00,0,-
43010203,"RIBES &VILLAGRASA, SL",COMERCIO,FRAGA,NO,0.00,130.00,62,0.00,5.00,0,-
43000001,"MATEO ASESORES Y ABOGADOS, SA",GESTORIA,FRAGA,NO,123.42,"1,481.04",62,2.50,0.00,0,-
43000078,"CINCAPORC, SA",INDUSTRIA,FRAGA,NO,0.00,278.00,62,0.00,9.00,0,-
43000096,"COMERCIAL BELTRAN SISO, SL",COMERCIO,FRAGA,NO,0.00,246.00,62,0.00,5.00,0,-
43000172,"COMUNIDAD DE PROPIETARIOS HUESCA, 66",COMUNIDAD,FRAGA,NO,0.00,165.00,62,0.00,5.50,0,-
43010143,"COMUNIDAD DE PROPIETARIOS SUBIDA DEL CASTILLO, 8",COMUNIDAD,MEQUINENZA,NO,0.00,272.00,62,0.00,9.00,0,
43010212,"COMUNIDAD DE PROPIETARIOS TERUEL, 37-39",COMUNIDAD,FRAGA,NO,0.00,204.00,62,0.00,6.00,0,-
43010235,COMUNIDAD DE PROPÌETARIOS C/CARACAS-URB. VIRGEN DEL PILAR,COMUNIDAD,FRAGA,NO,0.00,414.00,62,0.00,18.00,0,
43010255,"COMUNIDAD DE PROPIETARIOS JOAQUIN COSTA, 14",COMUNIDAD,ZAIDIN,NO,0.00,484.00,62,0.00,12.00,0,-
43010257,"COMUNIDAD DE PROPIETARIOS, Q N, 98-100-102",COMUNIDAD,MEQUINENZA,NO,0.00,248.00,62,0.00,8.00,0,-
43017012,"COMUNIDAD PARROQUIAL, SAN PEDRO ,1",COMUNIDAD,FRAGA,NO,0.00,45.00,62,0.00,2.00,0,-
43000935,"COMUNIDAD DE PROPIETARIOS REYES CATOLICOS, 29",COMUNIDAD,FRAGA,NO,0.00,324.00,62,0.00,12.00,0,-
43010289,"COMUNIDAD DE PROPIETARIOS FRAGA, 18",COMUNIDAD,SARIÑENA,NO,0.00,243.00,62,0.00,19.00,0,-
43010306,"COMUNIDAD DE PROPIETARIOS , CANDASNOS, 8-10",COMUNIDAD,FRAGA,NO,0.00,436.00,62,0.00,17.00,0,-
43010277,"COMUNIDAD DE PROPIETARIOS TERUEL, 60-62",COMUNIDAD,FRAGA,NO,0.00,192.00,62,0.00,8.00,0,-
43017021,"COMUNIDAD DE PROPIETARIOS JAIME I ,8",COMUNIDAD,FRAGA,NO,0.00,192.00,62,0.00,8.00,0,-
43010292,"COMUNIDAD DE PROPIETARIOS HUESCA, 53",COMUNIDAD,FRAGA,NO,0.00,175.00,62,0.00,8.00,0,-
43000177,"SAKCES & RAMOS, SL",COMERCIO,FRAGA,NO,80.50,966.00,62,3.50,0.00,0,-
43010238,BERGES CENTRO COMERCIAL SA,COMERCIO,FRAGA,NO,33.08,396.96,62,3.50,0.00,0,-
