43016113,"ABECEDARI, SCP",OFICINA,ALCARRAS,NO,92.75,"1,113.00",55,1.50,0.00,0,-
43001717,"AGROSTOCK, S.A.",INDUSTRIA,FRAGA,NO,320.72,"3,848.64",49,6.00,0.00,0,-
43016040,"ARTURO CARRASQUER E HIJOS, SL",OFICINAS,FRAGA,NO,223.58,"2,682.96",6,3.00,0.00,0,-
43016083,ALIN PIPOS,COMERCIO,FRAGA,NO,0.00,276.00,"29,43,20",0.00,22.00,0,-
43016120,AMALIA VERA TREMS,OFICINA,FRAGA,NO,0.00,92.00,"29,43",0.00,7.50,0,-
43002966,ASAJA HUESCA,OFICINAS,FRAGA,NO,48.40,580.80,56,0.75,0.00,0,-
43001417,ASOC. EMPRES. INTERSECTORIAL B. CINCA,OFICINAS,FRAGA,NO,120.42,"1,445.04",20,1.50,0.00,0,-
43000863,"AUTO CARROCERIAS GAPA, S.L.",INDUSTRIA,FRAGA,NO,145.70,"1,748.40",49,2.50,0.00,0,-
43016096,"AISLAMIENTO HERMANO MIRON, SL",INDUSTRIA,LLEIDA,NO,194.00,"2,328.00",55,4.00,0.00,0,-
43002747,AJUNTAMENT D´ ALMATRET,DEPENDENCIAS PÚBLICAS,ALMATRET,SI,360.22,"4,322.64","41,44",8.50,0.00,0,-
43000159,AYUNTAMIENTO DE FRAGA,DEPENDENCIAS PÚBLICAS,FRAGA,SI,"1,881.25","22,575.00","46,45,29,7",7.50,0.00,0,-
43001850,AYUNTAMIENTO DE MEQUINENZA,DEPENDENCIAS PÚBLICAS,MEQUINENZA,SI,"2,401.70","28,820.40","2,47,50",34.00,0.00,0,-
43005520,AYUNTAMIENTO DE PEÑALBA,DEPENDENCIAS PÚBLICAS,PEÑALBA,SI,"2,984.00","35,808.00","4,15,25,26",38.50,0.00,152,-
43001517,AYUNTAMIENTO DE VELILLA DE CINCA,DEPENDENCIAS PÚBLICAS,VELILLA DE CINCA,SI,185.83,"2,229.96",7,4.00,0.00,0,-
43001517,AYUNTAMIENTO DE VELILLA DE CINCA,DEPENDENCIAS PÚBLICAS,VELILLA DE CINCA,SI,785.55,"9,426.60",7,14.00,0.00,0,-
43001517,AYUNTAMIENTO DE VELILLA DE CINCA,DEPENDENCIAS PÚBLICAS,VELILLA DE CINCA,SI,309.37,"3,712.44",7,6.00,0.00,0,-
43000292,AYUNTAMIENTO DE ZAIDIN,DEPENDENCIAS PÚBLICAS,ZAIDIN,SI,550.12,"6,601.44",13,10.00,0.00,0,-
43000292,AYUNTAMIENTO DE ZAIDIN,DEPENDENCIAS PÚBLICAS,ZAIDIN,SI,495.68,"5,948.16","28,21",10.00,0.00,0,-
43005648,AYUNTAMIENTO VILLANUEVA DE SIGENA,DEPENDENCIAS PÚBLICAS,VILLANUEVA DE SIJENA,SI,"1,034.44","12,413.28","14,61",15.00,0.00,0,-
43005648,AYUNTAMIENTO VILLANUEVA DE SIGENA,DEPENDENCIAS PÚBLICAS,VILLANUEVA DE SIJENA,SI,256.21,"3,074.52","14,61",4.00,0.00,0,-
43016052,"BARECHE Y BARDAJI, SL",INDUSTRIA,SARIÑENA,NO,126.00,"1,512.00",59,2.50,0.00,0,-
43001567,"BERGES CENTRO COMERCIAL, S.A.",INDUSTRIA,FRAGA,NO,662.72,"7,952.64",17,12.50,0.00,0,-
43001712,BIOPYC SL,INDUSTRIA,FRAGA,NO,164.08,"1,968.96",13,3.00,0.00,3,-
43004995,"BRAU, S.A.",INDUSTRIA,SOSES,NO,849.40,"10,192.80",1,4.00,0.00,90,-
